reference_number,title,short_description,category,procurement_method,submission_deadline,procuring_entity,status,currency,bid_fee,publish_date,contact_person,contact_position,detail_url,bid_attachments,margin_of_preference,competition_level,requires_registration,requires_trading_license,requires_tax_clearance,requires_nssf_clearance,requires_manufacturer_auth,current_stage,evaluation_methodology,submission_method,submission_format,award_information,required_documents,required_forms,estimated_value_min,estimated_value_max,bid_security_amount,bid_security_type,pre_bid_meeting_date,site_visit_date,bid_opening_date
POU/SUPLS/2025-2026/00077,SUPPLY OF END-OF-YEAR GIFT VOUCHERS,SUPPLY OF END-OF-YEAR GIFT VOUCHERS,supplies,Open Domestic Bidding,2025-10-02,Parliament of Uganda,Open,UGX,0.0,2025-09-11,HENRY WAISWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/295328025/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//4RwTxO4H1C2RNdnbza3MlV8zfLIyuKasH8KBK3Ye.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//ENsqZYKele0WWnDJlGT4sS6YqkYKsY89WrRHospg.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//GWTGbCOYNvZ6XN8wvMMD7WKAcHzaNuT1wt3PSFMc.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//gY233qwAnm8eB288sPFp7GVerQBqzXL5NJvwy18X.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//OXsqwGHofEuU7FDBV5Tg1s4yJJi6cjtm4LFKZtsr.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//fuw1EnTZHcjjTmFI2NkUiODkexTR38TmxuuldC50.docx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,7500000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
UNBS/NCONS/2025-2026/00003,"Software Licences (Oracle BI, power BI, ) - Procurement of Enterprise Productivity and Collaboration Suite to Enhance Institutional Efficiency, Communication, and Digital Service Delivery","Software Licences (Oracle BI, power BI, ) - Procurement of Enterprise Productivity and Collaboration Suite to Enhance Institutional Efficiency, Communication, and Digital Service Delivery",supplies,Open Domestic Bidding,2025-10-02,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-11,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/293900400/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//bKWBzxKiSjUQvUp91wVWZTKfiUpBSUtC04ALeTJY.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,13250000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
MoWE/NCONS/2025-2026/00008,Provision of Hotel services to the MWE under Frame work contract,Provision of Hotel services to the MWE under Frame work contract,services,Open Domestic Bidding,2025-10-08,Ministry of Water & Environment,Open,UGX,0.0,2025-09-10,GRACE ATEBAT,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/293742450/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//1gcB4MVIDpZahJLPl3DDZoK9ZahFErKienIzCSu4.doc'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
KCCA/NCONS/2025-2026/00011,Procurement of framework contracts for collection and transport of medical waste from KCCA health facilities for 18 months,Procurement of framework contracts for collection and transport of medical waste from KCCA health facilities for 18 months,supplies,Open Domestic Bidding,2025-09-26,Kampala Capital City Authority,Open,UGX,300000.0,2025-09-09,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/293477175/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//CvP9xBeKrOd580UQyDdYikgWqewQxDZ08V9CjS4x.docx', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//yGDSxJXQUZFd9i7DGB5uOaU8UmzxyZ9EkB9c9j0u.pdf']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,5000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
OP/SUPLS/2025-2026/00022,Collectibles and awards - Medals and Decorations,Collectibles and awards - Medals and Decorations,other,Open Domestic Bidding,2025-09-30,Office of the President,Open,UGX,100000.0,2025-09-08,YUNUS KAKANDE,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/292995225/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//Vmh4OwYFQlBylK64DPfZcWahwpyB51IhSGR0kVi0.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,6000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
OP/SUPLS/2025-2026/00032,Supply and delivery of assorted Tyres for field offices and Headquarters Motor Vehicles and cycles under framework contract,Supply and delivery of assorted Tyres for field offices and Headquarters Motor Vehicles and cycles under framework contract,supplies,Open Domestic Bidding,2025-09-30,Office of the President,Open,UGX,100000.0,2025-09-08,YUNUS KAKANDE,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291253725/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//JUUAxqvr8S7BSJcJMH5hyCxJ6xFO4vzeVrr6vupI.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,6000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
MoWE/SUPLS/2025-2026/00014,Procurement of framework contract for supply of construction materials for construction of water for production facilities in central Region,Procurement of framework contract for supply of construction materials for construction of water for production facilities in central Region,construction,Open Domestic Bidding,2025-09-26,Ministry of Water & Environment,Open,UGX,100000.0,2025-09-05,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/292529475/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//zTh3CSywpIhMVnMr0rDIVfCmUw3CZBqJ5F9WNkEu.pdf', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//Q79eoggydVtlImM9pC2GMUIinBo3pwsuuUe1c4Zu.pdf', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//zWjP4mohPUd1BLTZbK5AK1cjgZxZJN16f7ro50s2.doc', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//k7oTLvWsDAiLdZzESM78T8Fnios24bSZtzj6lRfc.xlsx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,5000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
URSB/NCONS/2025-2026/00100,Data Centre Support and Maintenance,Data Centre Support and Maintenance,services,Open Domestic Bidding,2025-09-23,Uganda Registration Services Bureau,Open,UGX,100000.0,2025-09-03,MERCY K KAINOBWISHO,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/290698875/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//o6kXuqjLsX3I7gqTk4eoEoj9AoOlqFyPxXRNjUgd.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,33254000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
UNBS/NCONS/2025-2026/00021,provision of Hotel and conference services for stakeholders and any other engagements,provision of Hotel and conference services for stakeholders and any other engagements,services,Open Domestic Bidding,2025-09-23,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-02,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291634425/details,"['https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6792/8CXxYehvuqy46sir6jfHax4M1TsT0HBXjo98LDnb.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6793/XoInsKKXEyFgpfE9cjTSKCyPq8V8LgS3RtNpkyI0.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6794/6auTe5WfNXOziAXyL8nPliTfnVqdPVjXF8jkw30P.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6797/FvvWG6fOHjLymHEBSByIHDgNykSgOLxdak7QY2yj.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6799/0KQuk3hZgYo0vDTc9N34FeUM4RPoQGkpCArnNFi4.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6803/8ofx25yTrCDtqil1Y59siKxAhxhIUr7VX57ZpE4C.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6804/V8atrEKpFpg4s2HVnG947jI1tPvPlw3uf6qMP2jh.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6806/3G4TN2ZA7ZJwvMH4pPrT6ttffG6OVjtfCRTEgClW.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6807/tVKcDube1h8u43zlUdZtsLWh70iuOUnoOSPe8iuf.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6809/l5HpuJasZkW2Gd32DZhNUEJiolfvhNZ8uwejEcWt.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6817/o9EqBteV4ZRifaekF4v6FHcO8UCUJDBZe1Jjc7GS.docx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
POU/SUPLS/2025-2026/00074,Supply of Computer Tablets for the 12th Parliament of Uganda,Supply of Computer Tablets for the 12th Parliament of Uganda,supplies,Open Domestic Bidding,2025-09-17,Parliament of Uganda,Open,UGX,100000.0,2025-08-28,HENRY WAISWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/290994525/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//JHXwM2J8vi1B2nZPRqlNQrXOFQRYIFeFWvWFRMKt.docx', 'https://pde.egpuganda.go.ug/storage/bids/prebid_minutes/56398/1VzjrkTgpsDrzz2LvGT5SimAWTVbkRhDPWNDebov.pdf', 'https://egpuganda.go.ug/storage/0V5BTQFVqEkSZ9OOR0pFTzBjvOA2Bdc4nOS9SG2e.docx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,30000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
