subject,provider,published_date,contract_price,status,contract_url,procurement_entity,reference_number,method,successful_bidder,removal_date,published_by,published_on,signed_by,extraction_timestamp,bidder_type,bidder_name,bidder_price,bidder_rank,evaluation_stage,failure_reasons
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,CRYSTAL SUITES  & APARTMENTS LIMITED,"85,720.03",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation",Did not buy required standards  and the Audited books of Accounts was not signed
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,FAIRWAY LTD CHANGED TO FAIRWAY HOTEL LTD,"236,000.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Did not buy the standards, Audited books of Accounts were not signed by the Directors, Suitability of premises cert expired in 2021 contrary to requited Dec 2025, lack workman compensation policy, lack log book for the delivery van"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,RACERS CAFE RESTAURANT AND BUSINESS CENTRE LIMITED,"101,480.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Income Taxe Clearance cetrt addressed to CAA contrary to required to UNBS, NSSF  clearance cert expired in March 2024 contrary to required March 2025,"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,REEDFIELDS CATERING SERVICES LIMITED,"128,620.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","provided two years audited books of accounts contrary 3 years, Lack trading license, did not buy the standards and lack line of credit worth Ushs. 300million"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,HOTEL LA VENA (U) LIMITED,"67,614.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Provided for 1 year trading licsene contrary to required 3 years,"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,SUPER TASTE LIMITED,"68,400.01",2,"Preliminary
                                                            Evaluation: CompliantDetailed Evaluation: ResponsiveFinancial
                                                            Evaluation",2nd BEB
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,KEMBABAZI CATERING CENTRE LTD,"171,000.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Certificate of suitability of premises expired in Dec 2020 contrary to required Dec 2025, Income Tax clerarnce certificate addressed CAA contrary to required to UNBS"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,BUKANDULA HOTEL LIMITED,"88,960.20",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Lack work man  compensation policy, lack NSSF clearance certificate."
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,CAPITAL SHOPPERS LTD,"123,800.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Provided auidted books only for 2 years contrary to required 3 years, lack suitability cert for the premises, lack health suitability for the staff and lack workman compensation ploicy and traing licsense provided for 1 year instead of 3 years,  lack standards, no line of credit"
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,SOURCE OF THE NILE HOTEL LTD,"127,440.00",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Submitted NSSF Clerarnce cert Dec 2024 contrary to requied March 2025, audited books provided for 2years instead of 3 years, Health & fitness cert not provided and lack workman compensation policy"
